"id","current_value","future_basoul_value","file_path_system","category","migration_phase","dependency_risk","rollback_method","requires_downtime","requires_external_account_action","requires_manual_approval"
"INV-032","YOSSEUF Platform mobile UI labels","BASOUL mobile labels","mobile/src/features/auth/LoginScreen.tsx; dashboard; command-center","RENAME","Phase 5","high: signed application UI","halt rollout and redistribute prior build","yes","yes","yes"
"INV-033","YOSSEUF mobile package metadata","BASOUL display metadata","mobile/package.json; mobile/package-lock.json; mobile/README.md","RENAME","Phase 5","high: build and documentation coupling","restore package files from signed-build tag","yes","yes","yes"
"INV-034","NEXT_PUBLIC_SUPABASE_URL","unchanged","Production and Preview environment variables","NEVER_TOUCH","Phase 0","critical: database endpoint and deployed clients","no change permitted; restore captured environment snapshot if touched","yes","yes","yes"
"INV-035","NEXT_PUBLIC_SUPABASE_ANON_KEY","unchanged","Production and Preview environment variables","NEVER_TOUCH","Phase 0","critical: auth and Data API key","no change permitted; rotate only via security procedure","yes","yes","yes"
"INV-036","YOSSEUF_AI_GATEWAY_URL","BASOUL_AI_GATEWAY_URL with compatibility alias","Vercel and .env.example","REVIEW_MANUALLY","Phase 7","critical: integration endpoint configuration","restore old variable and redeploy prior artifact","yes","yes","yes"
"INV-037","YOSSEUF_DIGITAL_HUMAN_GATEWAY_URL","BASOUL_DIGITAL_HUMAN_GATEWAY_URL with compatibility alias","Vercel and .env.example","REVIEW_MANUALLY","Phase 7","critical: integration endpoint configuration","restore old variable and redeploy prior artifact","yes","yes","yes"
"INV-038","okghyypmkymxvtsuvdvb","unchanged","Supabase Production project reference","NEVER_TOUCH","Phase 0","critical: production project identity","no change permitted","yes","yes","yes"
"INV-039","ogqdfucxwjutkpoahezn","unchanged","Supabase Staging project reference","NEVER_TOUCH","Phase 0","critical: staging project identity","no change permitted","yes","yes","yes"
"INV-040","YOSSEUF Platform Backend / Staging","optional BASOUL dashboard display labels only","Supabase dashboard project names","REVIEW_MANUALLY","Phase 7","high: operator target recognition","restore dashboard display labels","no","yes","yes"
"INV-041","database UUIDs and primary keys","unchanged","Supabase PostgreSQL all schemas","NEVER_TOUCH","Phase 0","critical: referential identity","verified backup restore only; never rename IDs","yes","yes","yes"
"INV-042","auth provider IDs and user IDs","unchanged","Supabase Auth configuration","NEVER_TOUCH","Phase 0","critical: login identity and sessions","restore Auth configuration snapshot","yes","yes","yes"
"INV-043","secrets and API keys","unchanged","GitHub Vercel Supabase EAS external services","NEVER_TOUCH","Phase 0","critical: credential security","rotate through provider incident procedure if changed","yes","yes","yes"
"INV-044","public database table function policy and schema names","unchanged","supabase/**; database/migrations/**","NEVER_TOUCH","Phase 0","critical: API and RLS contracts","verified database restore or reviewed forward fix","yes","yes","yes"
"INV-045","r1_* database namespace","unchanged","Supabase public schema and migration history","NEVER_TOUCH","Phase 0","critical: persisted API and data identifiers","no change permitted","yes","yes","yes"
"INV-046","R1 product label","BASOUL ONE candidate with R1 compatibility","README/docs/runtime integration labels","REVIEW_MANUALLY","Phase 7","high: integration and user expectations","restore R1 label and compatibility routing","yes","yes","yes"
"INV-047","R2 research label","BASOUL LABS research candidate","research/docs/external repository references","REVIEW_MANUALLY","Phase 7","medium: research governance","restore R2 naming and links","no","yes","yes"
"INV-048","X-YOSSEUF-Organization","X-BASOUL-Organization plus legacy acceptance","docs/ORGANIZATION_FOUNDATION.md; API client contract","DEPRECATE","Phase 9","critical: API clients and tenant selection","continue accepting old header and revert preferred header","yes","yes","yes"
"INV-049","/api/platform/** and /api/workspace/**","unchanged stable routes","app/api/**","NEVER_TOUCH","Phase 0","critical: client contracts","no route rename permitted; restore prior deployment","yes","no","yes"
"INV-050","YOSSEUF Platform Vercel project","BASOUL display name candidate","Vercel project prj_uHdvrknlDGmNyvHNu0dzWEOPzSkA","REVIEW_MANUALLY","Phase 7","critical: deployment aliases environment and Git integration","restore project display name; keep project ID","yes","yes","yes"
"INV-051","yosseuf-os.vercel.app","retain as legacy redirect after BASOUL canonical domain exists","Vercel production domain","REDIRECT","Phase 6","critical: public traffic auth callbacks and SEO","repoint canonical alias to prior deployment and remove redirect","yes","yes","yes"
"INV-052","future YOSSEUF custom domains","BASOUL canonical domains after clearance","DNS registrar Vercel domains","REDIRECT","Phase 6","critical: DNS TLS email SEO and callbacks","restore DNS records and canonical host","yes","yes","yes"
"INV-053","github.com/Yosseuf3/YOSSEUF--OS links","future BASOUL repository URL with old redirect","README docs badges external references","REDIRECT","Phase 8","high: clones submodules badges and integrations","rename repository back and restore links","yes","yes","yes"
"INV-054","Yosseuf3 GitHub account","unchanged founder account unless separate organization approved","GitHub owner identity","PRESERVE","Phase 0","critical: personal/founder identity and ownership","no change planned","no","yes","yes"
"INV-055","README and documentation YOSSEUF product references","BASOUL technology-family terminology","README.md; README_AR.md; docs current architecture and roadmap","RENAME","Phase 1","medium: public documentation accuracy","revert documentation commit","no","no","yes"
"INV-056","historical release notes and changelog entries","unchanged historical YOSSEUF record","CHANGELOG.md; RELEASE_NOTES_v*.md; verification reports","NEVER_TOUCH","Phase 0","critical: audit history","no change permitted","no","no","yes"
"INV-057","historical Git tags and Git history","unchanged","Git repository refs and commit history","NEVER_TOUCH","Phase 0","critical: provenance signatures and releases","no rewrite permitted","no","yes","yes"
"INV-058","YOSSEUF OS screenshots","new BASOUL screenshots while preserving historical captures","docs/assets/screenshots; README image references","DEPRECATE","Phase 4","medium: visual documentation and history","restore old screenshot references","no","no","yes"
"INV-059","YOSSEUF Visual Language and YVL assets","unchanged approved visual rules","design-system/yvl/**; packages/yvl-tokens/**","NEVER_TOUCH","Phase 0","critical: separately governed approved visual system","no change permitted","no","no","yes"
"INV-060","approved BASOUL Brand Foundation assets","unchanged byte-for-byte","brand/basoul/assets/**; reference/**; specs/SHA256_MANIFEST.csv","NEVER_TOUCH","Phase 0","critical: locked approved visual source","restore exact blobs by SHA-256","no","no","yes"
"INV-061","YOSSEUF legal and copyright notices","preserve founder/legal identity; add BASOUL entity only after counsel approval","LICENSE; legal notices; store listings","REVIEW_MANUALLY","Phase 7","critical: ownership trademarks and contracts","restore approved legal text","no","yes","yes"
"INV-062","release names YOSSEUF OS / YOSSEUF Platform","BASOUL release naming for future releases only","release workflow and future release notes","DEPRECATE","Phase 9","high: automation and historical continuity","restore release templates and naming","no","yes","yes"
"INV-063","Quality Gate and CI workflow names","preserve functional workflow; update display copy only if approved","github workflows","PRESERVE","Phase 1","medium: required checks and branch protection","restore workflow display names","no","yes","yes"
"INV-064","main deployment disabled metadata","unchanged","vercel.json Git deployment configuration","NEVER_TOUCH","Phase 0","critical: deployment safety boundary","no change permitted","yes","yes","yes"
"INV-065","Vercel deployment IDs and historical metadata","unchanged","Vercel deployment history","NEVER_TOUCH","Phase 0","critical: rollback provenance","no change permitted","no","yes","yes"
"INV-066","Supabase migration ledger and schema labels","unchanged","supabase_migrations schema and SQL history","NEVER_TOUCH","Phase 0","critical: database auditability","verified backup restore only","yes","yes","yes"
"INV-067","Auth redirect URLs containing YOSSEUF hosts or scheme","BASOUL URLs added alongside legacy callbacks","Supabase Auth URL configuration; mobileAuth.ts","REDIRECT","Phase 6","critical: login completion for web and installed apps","retain legacy callback allowlist and restore prior site URL","yes","yes","yes"
"INV-068","social profiles and handles","BASOUL technology handles; preserve YOSSEUF RADWAN personal handles","external social accounts; no canonical links discovered in repository","REVIEW_MANUALLY","Phase 7","high: handle ownership impersonation and audience","restore bios links and prior handles where provider permits","no","yes","yes"
"INV-069","YOSSEUF HQ repository and governance links","BASOUL HQ candidate with founder attribution preserved","external Yosseuf3/yosseuf-hq and governance records","REVIEW_MANUALLY","Phase 8","critical: governance source of truth","rename back and restore cross-repository references","yes","yes","yes"
"INV-070","R1 and R2 external repositories","future BASOUL ONE / BASOUL LABS names only after integration review","GitHub external repositories and integration metadata","REVIEW_MANUALLY","Phase 8","critical: CI integrations releases and consumers","rename repositories back and restore URLs","yes","yes","yes"
"INV-071","YOSSEUF organization database display row","BASOUL display label only after database change approval","Production organization row name/slug","REVIEW_MANUALLY","Phase 7","critical: tenant identity and application defaults","transactionally restore captured name/slug","yes","yes","yes"
"INV-072","YOSSEUF slugs stored in business data","preserve unless row-level migration is separately approved","Production database user content and organization slugs","NEVER_TOUCH","Phase 0","critical: user data links and uniqueness","no change permitted by default","yes","yes","yes"
"INV-073","BASOUL AI / BASOUL OS / BASOUL ONE / BASOUL LABS","approved future product-family labels","brand/basoul assets and future product architecture","PRESERVE","Phase 0","high: approved locked naming architecture","restore approved foundation records","no","no","yes"
"INV-074","YOSSEUF Foundation comments and semantic token labels","preserve technical history until YVL governance approves otherwise","packages/ui-tokens/src/**; tests/foundation.test.mjs","NEVER_TOUCH","Phase 0","high: semantic contract and test expectations","no change permitted","no","no","yes"
"INV-075","YOSSEUF AI gateway API identity","BASOUL AI public display with stable gateway contract","app/api/platform/gateways/**; packages/platform registry","REVIEW_MANUALLY","Phase 7","high: gateway clients monitoring and external service","retain stable route and restore display metadata","yes","yes","yes"
"INV-076","deployment release channel v4.0.0-rc.1 YOSSEUF Platform","future BASOUL release after independent release approval","DEPLOYMENT.md; MIGRATION_GUIDE_v4.0.0-rc.1.md; RELEASE_NOTES_v4.0.0-rc.1.md","NEVER_TOUCH","Phase 0","high: immutable approved release record","no historical edit permitted","no","no","yes"
